DFSTime,BFSTime,IDSTime,UCSTime,AstarTime,DFSMemory,BFSMemory,IDSMemory,UCSMemory,AstarMemory
4.003,0.161,0.828,0.167,0.191,0.0365140000003521,0.029239999999845168,0.02565099999992526,0.02354399999967427,0.024736000000302738
7.962,0.353,1.049,0.476,0.664,0.028320000000348955,0.15582699999959004,0.020099999999729334,0.13841099999990547,0.14715499999965687
1.926,0.127,0.789,0.116,0.135,0.014535999999679916,0.00605600000017148,0.016319999999723223,0.00601600000027247,0.006255999999666528
4.435,0.144,0.977,0.203,0.227,0.014608000000407628,0.027712000000065018,0.011824000000160595,0.027871999999661057,0.029464000000189117
5.155,0.122,0.899,0.127,0.133,0.012848000000303728,0.008407999999690219,0.011416000000281201,0.008407999999690219,0.009331000000202039
9.556,0.133,0.815,0.133,0.158,0.015488000000004831,0.00887200000033772,0.011244999999689753,0.008976000000075146,0.009519999999611173
3.776,0.156,0.917,0.135,0.141,0.012235999999575142,0.005616000000372878,0.01196799999979703,0.005616000000372878,0.00597600000037346
4.315,0.099,0.822,0.137,0.13,0.01324800000020332,0.004127999999582244,0.011703999999554071,0.0042320000002291636,0.004367999999885797
2.511,0.097,0.805,0.101,0.121,0.011972000000241678,0.003456000000369386,0.011440000000220607,0.003456000000369386,0.0036479999998846324
5.194,0.094,0.218,0.128,0.099,0.013240000000223517,0.002072000000225671,0.0031520000002274173,0.003064000000449596,0.002096000000165077
3.434,0.105,0.816,0.122,0.131,0.012096000000383356,0.005368000000089523,0.011343999999553489,0.005368000000089523,0.0057280000000901055
6.511,0.216,2.234,0.262,0.317,0.02371599999969476,0.057695999999850756,0.01746999999977561,0.0587679999998727,0.06196799999997893
6.285,0.294,1.96,0.289,0.444,0.013288000000102329,0.08012799999960407,0.012039999999615247,0.08172000000013213,0.08609599999999773
,0.252,0.913,0.303,,,0.07781599999998434,0.01231999999981781,0.07952800000020943,
3.369,0.168,1.178,0.14,0.213,0.012039999999615247,0.028408000000126776,0.013152000000445696,0.02862399999958143,0.03013600000031147
0.532,0.125,0.746,0.116,0.138,0.009680000000116706,0.0043759999998655985,0.011400000000321597,0.0043759999998655985,0.004640000000108557
2.765,0.288,0.928,0.403,,0.011567999999897438,0.11459199999990233,0.012015999999675842,0.11570399999982328,
,0.339,0.955,0.471,,,0.13760000000002037,0.012015999999675842,0.13791200000014214,
1.169,0.162,0.834,0.182,0.201,0.010024000000157685,0.025040000000444707,0.011376000000382192,0.025040000000444707,0.026767999999719905
3.789,0.149,0.822,0.106,0.128,0.01224000000001979,0.0038800000002083834,0.011647999999695458,0.003983999999945809,0.004200000000309956
9.898,0.68,1.707,0.877,,0.01482399999986228,0.24203200000010838,0.01176000000032218,0.23539999999957217,
,0.793,28.327,1.88,,,0.45152799999959825,0.01852099999996426,0.45641599999999016,
4.447,1.199,5.119,3.007,,0.024736000000302738,0.5946720000001733,0.022664000000077067,0.5942320000003747,
5.405,3.595,3.892,20.404,,0.01500800000030722,2.0906880000002275,0.014223999999558146,2.0965439999999944,
1.276,2.128,1.355,9.928,,0.010760000000118453,1.0756240000000616,0.012023999999655643,1.1078639999996085,
,4.67,,28.583,,,2.477856000000429,,2.458560000000034,
,0.495,,0.773,,,0.19937599999957456,,0.20471999999972468,
,5.824,29.601,,,,2.6229679999996733,0.01789600000029168,,
,1.714,5.58,5.133,,,0.8538399999997637,0.01912799999990966,0.8811679999998887,
4.949,11.619,9.318,,,0.013888000000406464,5.897600000000239,0.033655999999609776,,
,1.587,2.825,4.307,,,0.7493599999997969,0.013928000000305474,0.7727999999997337,
14.695,2.84,21.123,15.616,,0.015096000000085041,1.607984000000215,0.03542399999969348,1.6539599999996426,
13.134,1.249,17.103,3.298,,0.015312000000449189,0.6899439999997412,0.01614400000016758,0.7111919999997554,
7.22,6.413,12.362,,,0.014320000000225264,3.933143999999629,0.01587999999992462,,
,17.652,,,,,8.893664000000172,,,
7.9,30.491,12.649,,,0.01465600000028644,12.380439999999908,0.034808000000339234,,
,93.769,,,,,19.445423999999548,,,
,15.035,,,,,7.602111999999579,,,
,15.138,27.107,,,,8.70836799999961,0.03768800000034389,,
,16.046,,,,,8.885784000000058,,,
,51.232,,,,,18.159255999999914,,,
,21.483,16.537,,,,11.002000000000407,0.03709600000001956,,
,25.98,,,,,10.421408000000156,,,
,28.612,,,,,11.505527999999686,,,
5.774,14.135,10.603,,,0.025872000000163098,7.646335999999792,0.03389599999991333,,
,6.538,,,,,3.482680000000073,,,
,36.303,,,,,14.567544000000453,,,
8.658,15.337,13.248,,,0.014608000000407628,8.205367999999908,0.03427999999985332,,
,26.812,,,,,11.427456000000348,,,
,66.929,,,,,19.115319999999883,,,
,,,,,,,,,
