DFSTime,BFSTime,IDSTime,UCSTime,AstarTime,DFSMemory,BFSMemory,IDSMemory,UCSMemory,AstarMemory
4.003,0.161,0.828,0.167,0.191,0.0365140000003521,0.0292399999998451,0.0256509999999252,0.0235439999996742,0.0247360000003027
7.962,0.353,1.049,0.476,0.664,0.0283200000003489,0.15582699999959,0.0200999999997293,0.1384109999999054,0.1471549999996568
1.926,0.127,0.789,0.116,0.135,0.0145359999996799,0.0060560000001714,0.0163199999997232,0.0060160000002724,0.0062559999996665
4.435,0.144,0.977,0.203,0.227,0.0146080000004076,0.027712000000065,0.0118240000001605,0.027871999999661,0.0294640000001891
5.155,0.122,0.899,0.127,0.133,0.0128480000003037,0.0084079999996902,0.0114160000002812,0.0084079999996902,0.009331000000202
9.556,0.133,0.815,0.133,0.158,0.0154880000000048,0.0088720000003377,0.0112449999996897,0.0089760000000751,0.0095199999996111
3.776,0.156,0.917,0.135,0.141,0.0122359999995751,0.0056160000003728,0.011967999999797,0.0056160000003728,0.0059760000003734
4.315,0.099,0.822,0.137,0.13,0.0132480000002033,0.0041279999995822,0.011703999999554,0.0042320000002291,0.0043679999998857
2.511,0.097,0.805,0.101,0.121,0.0119720000002416,0.0034560000003693,0.0114400000002206,0.0034560000003693,0.0036479999998846
5.194,0.094,0.218,0.128,0.099,0.0132400000002235,0.0020720000002256,0.0031520000002274,0.0030640000004495,0.002096000000165
3.434,0.105,0.816,0.122,0.131,0.0120960000003833,0.0053680000000895,0.0113439999995534,0.0053680000000895,0.0057280000000901
6.511,0.216,2.234,0.262,0.317,0.0237159999996947,0.0576959999998507,0.0174699999997756,0.0587679999998727,0.0619679999999789
6.285,0.294,1.96,0.289,0.444,0.0132880000001023,0.080127999999604,0.0120399999996152,0.0817200000001321,0.0860959999999977
9.8858003616333,0.252,0.913,0.303,0.2770605087280273,0.0264049999996132,0.0778159999999843,0.0123199999998178,0.0795280000002094,0.0824309999998149
3.369,0.168,1.178,0.14,0.213,0.0120399999996152,0.0284080000001267,0.0131520000004456,0.0286239999995814,0.0301360000003114
0.532,0.125,0.746,0.116,0.138,0.0096800000001167,0.0043759999998655,0.0114000000003215,0.0043759999998655,0.0046400000001085
2.765,0.288,0.928,0.403,0.3757679462432861,0.0115679999998974,0.1145919999999023,0.0120159999996758,0.1157039999998232,0.1213509999997768
15.929468631744385,0.339,0.955,0.471,0.413935899734497,0.0171039999995628,0.1376000000000203,0.0120159999996758,0.1379120000001421,0.1497699999999895
1.169,0.162,0.834,0.182,0.201,0.0100240000001576,0.0250400000004447,0.0113760000003821,0.0250400000004447,0.0267679999997199
3.789,0.149,0.822,0.106,0.128,0.0122400000000197,0.0038800000002083,0.0116479999996954,0.0039839999999458,0.0042000000003099
9.898,0.68,1.707,0.877,0.680222749710083,0.0148239999998622,0.2420320000001083,0.0117600000003221,0.2353999999995721,0.2511839999997391
8.495118141174316,0.793,28.327,1.88,1.213754415512085,0.0147100000003774,0.4515279999995982,0.0185209999999642,0.4564159999999901,0.4750000000003638
4.447,1.199,5.119,3.007,1.65059232711792,0.0247360000003027,0.5946720000001733,0.022664000000077,0.5942320000003747,0.648352000000159
5.405,3.595,3.892,20.404,8.723655223846436,0.0150080000003072,2.0906880000002275,0.0142239999995581,2.0965439999999944,2.212523999999576
1.276,2.128,1.355,9.928,4.076130390167236,0.0107600000001184,1.0756240000000616,0.0120239999996556,1.1078639999996085,1.1911399999999048
3.362732172012329,4.67,78.22287249565125,28.583,11.432124853134155,0.0212639999999737,2.477856000000429,0.0249599999997371,2.458560000000034,2.5946279999998296
3.424412727355957,0.495,31.05839252471924,0.773,0.5664834976196289,0.0136000000002241,0.1993759999995745,0.0165170000000216,0.2047199999997246,0.2166719999995621
9.25929307937622,5.824,29.601,6.852624416351318,13.791122436523438,0.0147109999998065,2.6229679999996733,0.0178960000002916,2.697551999999632,2.8333560000000944
2.932161569595337,1.714,5.58,5.133,2.832186460494995,0.0340729999998075,0.8538399999997637,0.0191279999999096,0.8811679999998887,0.9343399999997928
4.949,11.619,9.318,25.637152194976807,58.97342348098755,0.0138880000004064,5.897600000000239,0.0336559999996097,6.050852999999734,6.34422799999993
7.012394666671753,1.587,2.825,4.307,2.3281545639038086,0.0344900000000052,0.7493599999997969,0.0139280000003054,0.7727999999997337,0.8185919999996258
14.695,2.84,21.123,15.616,,0.015096000000085,1.607984000000215,0.0354239999996934,1.6539599999996426,
13.134,1.249,17.103,3.298,,0.0153120000004491,0.6899439999997412,0.0161440000001675,0.7111919999997554,
7.22,6.413,12.362,,,0.0143200000002252,3.933143999999629,0.0158799999999246,,
,17.652,,,,,8.893664000000172,,,
7.9,30.491,12.649,,,0.0146560000002864,12.380439999999908,0.0348080000003392,,
,93.769,,,,,19.445423999999548,,,
,15.035,,,,,7.602111999999579,,,
,15.138,27.107,,,,8.70836799999961,0.0376880000003438,,
,16.046,,,,,8.885784000000058,,,
,51.232,,,,,18.15925599999992,,,
,21.483,16.537,,,,11.002000000000407,0.0370960000000195,,
,25.98,,,,,10.421408000000156,,,
,28.612,,,,,11.505527999999686,,,
5.774,14.135,10.603,,,0.025872000000163,7.646335999999792,0.0338959999999133,,
,6.538,,,,,3.482680000000073,,,
,36.303,,,,,14.567544000000453,,,
8.658,15.337,13.248,,,0.0146080000004076,8.205367999999908,0.0342799999998533,,
,26.812,,,,,11.427456000000348,,,
,66.929,,,,,19.115319999999883,,,
,,,,,,,,,
